model,seed,precision_normal,recall_normal,f1_normal,precision_injured,recall_injured,f1_injured,accuracy,roc_auc,best_valid_loss,epochs,train_time_s,max_gpu_mb
transformer,900,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.4,0.4,0.4,0.8064516129032258,0.7514423076923077,0.4633053502728862,86,252.2,5419.0
transformer,1000,0.9247311827956989,0.8269230769230769,0.8730964467005076,0.41935483870967744,0.65,0.5098039215686274,0.7983870967741935,0.7759615384615385,0.36095237731933594,94,275.7,5423.0
cnn_lstm,100,0.9318181818181818,0.7884615384615384,0.8541666666666666,0.3888888888888889,0.7,0.5,0.7741935483870968,0.8264423076923078,0.5491680022208921,170,47.2,1176.0
cnn_lstm,200,0.9438202247191011,0.8076923076923077,0.8704663212435233,0.42857142857142855,0.75,0.5454545454545454,0.7983870967741935,0.7884615384615384,0.4389753956948557,130,35.9,1259.0
cnn_lstm,300,0.9120879120879121,0.7980769230769231,0.8512820512820513,0.36363636363636365,0.6,0.4528301886792453,0.7661290322580645,0.6495192307692307,0.4096282066837434,300,82.1,1259.0
cnn_lstm,400,0.9090909090909091,0.6730769230769231,0.7734806629834254,0.2765957446808511,0.65,0.3880597014925373,0.6693548387096774,0.7644230769230769,0.5685224840717931,87,24.1,1259.0
cnn_lstm,500,0.8953488372093024,0.7403846153846154,0.8105263157894737,0.2894736842105263,0.55,0.3793103448275862,0.7096774193548387,0.725,0.5452677203762916,130,35.7,1259.0
cnn_lstm,600,0.8877551020408163,0.8365384615384616,0.8613861386138614,0.34615384615384615,0.45,0.391304347826087,0.7741935483870968,0.7115384615384616,0.4262427822236092,280,78.1,1259.0
cnn_lstm,700,0.9302325581395349,0.7692307692307693,0.8421052631578947,0.3684210526315789,0.7,0.4827586206896552,0.7580645161290323,0.7634615384615385,0.5311649076400264,164,45.3,1259.0
cnn_lstm,800,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.3333333333333333,0.6,0.42857142857142855,0.7419354838709677,0.7514423076923077,0.5260421229946998,133,37.1,1259.0
cnn_lstm,900,0.9032258064516129,0.8076923076923077,0.8527918781725888,0.3548387096774194,0.55,0.43137254901960786,0.7661290322580645,0.78125,0.5248308027944257,118,32.5,1259.0
cnn_lstm,1000,0.898876404494382,0.7692307692307693,0.8290155440414507,0.3142857142857143,0.55,0.4,0.7338709677419355,0.7110576923076922,0.42781803684849895,207,57.4,1259.0
lstm,100,0.8846153846153846,0.6634615384615384,0.7582417582417582,0.2391304347826087,0.55,0.3333333333333333,0.6451612903225806,0.7014423076923078,0.6257701996834047,88,63.3,4337.0
lstm,200,0.9397590361445783,0.75,0.8342245989304813,0.36585365853658536,0.75,0.4918032786885246,0.75,0.7682692307692308,0.5028406573880103,233,166.9,4418.0
lstm,300,0.8765432098765432,0.6826923076923077,0.7675675675675676,0.23255813953488372,0.5,0.31746031746031744,0.6532258064516129,0.6206730769230769,0.44988047692083544,287,205.4,4418.0
lstm,400,0.9365079365079365,0.5673076923076923,0.7065868263473054,0.26229508196721313,0.8,0.3950617283950617,0.6048387096774194,0.7019230769230769,0.5693610406691029,163,116.7,4418.0
lstm,500,0.8452380952380952,0.6826923076923077,0.7553191489361702,0.175,0.35,0.23333333333333334,0.6290322580645161,0.6591346153846154,0.5718299496558404,141,101.1,4418.0
lstm,600,0.8604651162790697,0.7115384615384616,0.7789473684210526,0.21052631578947367,0.4,0.27586206896551724,0.6612903225806451,0.6461538461538462,0.4575481414794922,213,172.6,4418.0
lstm,700,0.8765432098765432,0.6826923076923077,0.7675675675675676,0.23255813953488372,0.5,0.31746031746031744,0.6532258064516129,0.6096153846153846,0.5369907502205141,209,179.1,4418.0
lstm,800,0.9361702127659575,0.4230769230769231,0.5827814569536424,0.22077922077922077,0.85,0.35051546391752575,0.49193548387096775,0.6471153846153846,0.5975672198880103,89,76.1,4418.0
lstm,900,0.8556701030927835,0.7980769230769231,0.8258706467661692,0.2222222222222222,0.3,0.2553191489361702,0.717741935483871,0.6211538461538462,0.5329843336536039,165,141.1,4418.0
lstm,1000,0.8514851485148515,0.8269230769230769,0.8390243902439024,0.21739130434782608,0.25,0.23255813953488372,0.7338709677419355,0.68125,0.4236185012325164,217,186.0,4418.0
