foldset,H,B,F,end,embargo,fold,n_windows,n_pos,n_distinct_surg,base_rate
alt,90,60,730,e0a_2024-12-31,strict,valid,8561,27,27,0.0031538371685550753
alt,90,60,730,e0a_2024-12-31,strict,test,9689,35,35,0.0036123438951388173
alt,90,60,INF,cons_2023-12-31,none,train,11346,26,26,0.0022915564956812974
alt,90,60,INF,cons_2023-12-31,none,valid,10914,28,28,0.0025655121861828845
alt,90,60,INF,cons_2023-12-31,none,test,13899,36,36,0.0025901143967191884
alt,90,60,INF,cons_2023-12-31,strict,train,11346,26,26,0.0022915564956812974
alt,90,60,INF,cons_2023-12-31,strict,valid,10914,28,28,0.0025655121861828845
alt,90,60,INF,cons_2023-12-31,strict,test,13899,36,36,0.0025901143967191884
alt,90,60,INF,e0a_2024-12-31,none,train,11346,26,26,0.0022915564956812974
alt,90,60,INF,e0a_2024-12-31,none,valid,10914,28,28,0.0025655121861828845
alt,90,60,INF,e0a_2024-12-31,none,test,13899,36,36,0.0025901143967191884
alt,90,60,INF,e0a_2024-12-31,strict,train,11346,26,26,0.0022915564956812974
alt,90,60,INF,e0a_2024-12-31,strict,valid,10914,28,28,0.0025655121861828845
alt,90,60,INF,e0a_2024-12-31,strict,test,13899,36,36,0.0025901143967191884
alt,150,0,30,cons_2023-12-31,none,train,6611,85,32,0.012857358947209198
alt,150,0,30,cons_2023-12-31,none,valid,2977,48,26,0.016123614376889486
alt,150,0,30,cons_2023-12-31,none,test,4103,89,43,0.02169144528393858
alt,150,0,30,cons_2023-12-31,strict,train,6611,85,32,0.012857358947209198
alt,150,0,30,cons_2023-12-31,strict,valid,2977,48,26,0.016123614376889486
alt,150,0,30,cons_2023-12-31,strict,test,4103,89,43,0.02169144528393858
alt,150,0,30,e0a_2024-12-31,none,train,6611,85,32,0.012857358947209198
alt,150,0,30,e0a_2024-12-31,none,valid,2977,48,26,0.016123614376889486
alt,150,0,30,e0a_2024-12-31,none,test,4540,95,43,0.02092511013215859
alt,150,0,30,e0a_2024-12-31,strict,train,6611,85,32,0.012857358947209198
alt,150,0,30,e0a_2024-12-31,strict,valid,2977,48,26,0.016123614376889486
alt,150,0,30,e0a_2024-12-31,strict,test,4540,95,43,0.02092511013215859
alt,150,0,365,cons_2023-12-31,none,train,9886,133,42,0.013453368399757233
alt,150,0,365,cons_2023-12-31,none,valid,7063,119,37,0.01684836471754212
alt,150,0,365,cons_2023-12-31,none,test,7349,156,56,0.021227377874540754
alt,150,0,365,cons_2023-12-31,strict,train,9886,133,42,0.013453368399757233
alt,150,0,365,cons_2023-12-31,strict,valid,7063,119,37,0.01684836471754212
alt,150,0,365,cons_2023-12-31,strict,test,7349,156,56,0.021227377874540754
alt,150,0,365,e0a_2024-12-31,none,train,9886,133,42,0.013453368399757233
alt,150,0,365,e0a_2024-12-31,none,valid,7063,119,37,0.01684836471754212
alt,150,0,365,e0a_2024-12-31,none,test,8011,162,56,0.020222194482586442
alt,150,0,365,e0a_2024-12-31,strict,train,9886,133,42,0.013453368399757233
alt,150,0,365,e0a_2024-12-31,strict,valid,7063,119,37,0.01684836471754212
alt,150,0,365,e0a_2024-12-31,strict,test,8011,162,56,0.020222194482586442
alt,150,0,730,cons_2023-12-31,none,train,10958,133,42,0.012137251323234167
alt,150,0,730,cons_2023-12-31,none,valid,8561,128,38,0.014951524354631469
alt,150,0,730,cons_2023-12-31,none,test,8870,159,56,0.017925591882750846
alt,150,0,730,cons_2023-12-31,strict,train,10958,133,42,0.012137251323234167
alt,150,0,730,cons_2023-12-31,strict,valid,8561,128,38,0.014951524354631469
alt,150,0,730,cons_2023-12-31,strict,test,8870,159,56,0.017925591882750846
